,capacity,ratio,method,type,run_id,happiness,tol,time
0,10.0,25:75,choice,family,0.0,10.0,6.0,22.0
1,10.0,25:75,choice,family,0.0,10.0,6.0,26.0
2,10.0,25:75,choice,family,0.0,10.0,6.0,10.0
3,10.0,25:75,choice,family,0.0,9.0,5.0,1.0
4,10.0,25:75,choice,family,0.0,10.0,6.0,15.0
5,10.0,25:75,choice,family,0.0,10.0,6.0,20.0
6,10.0,25:75,choice,family,0.0,10.0,6.0,1.0
7,10.0,25:75,choice,family,0.0,10.0,6.0,4.0
8,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
9,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
10,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
11,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
12,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
13,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
14,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
15,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
16,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
17,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
18,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
19,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
20,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
21,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
22,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
23,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
24,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
25,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
26,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
27,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
28,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
29,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
30,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
31,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
32,10.0,25:75,choice,single person,0.0,10.0,4.0,1.0
33,10.0,25:75,choice,family,1.0,10.0,6.0,26.0
34,10.0,25:75,choice,family,1.0,9.0,5.0,1.0
35,10.0,25:75,choice,family,1.0,10.0,6.0,20.0
36,10.0,25:75,choice,family,1.0,10.0,6.0,22.0
37,10.0,25:75,choice,family,1.0,10.0,6.0,15.0
38,10.0,25:75,choice,family,1.0,10.0,6.0,1.0
39,10.0,25:75,choice,family,1.0,10.0,6.0,10.0
40,10.0,25:75,choice,family,1.0,10.0,6.0,4.0
41,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
42,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
43,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
44,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
45,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
46,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
47,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
48,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
49,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
50,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
51,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
52,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
53,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
54,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
55,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
56,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
57,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
58,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
59,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
60,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
61,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
62,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
63,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
64,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
65,10.0,25:75,choice,single person,1.0,10.0,4.0,1.0
66,10.0,25:75,choice,family,2.0,10.0,6.0,26.0
67,10.0,25:75,choice,family,2.0,10.0,6.0,4.0
68,10.0,25:75,choice,family,2.0,10.0,6.0,20.0
69,10.0,25:75,choice,family,2.0,10.0,6.0,22.0
70,10.0,25:75,choice,family,2.0,9.0,5.0,1.0
71,10.0,25:75,choice,family,2.0,10.0,6.0,1.0
72,10.0,25:75,choice,family,2.0,10.0,6.0,15.0
73,10.0,25:75,choice,family,2.0,10.0,6.0,10.0
74,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
75,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
76,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
77,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
78,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
79,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
80,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
81,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
82,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
83,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
84,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
85,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
86,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
87,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
88,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
89,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
90,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
91,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
92,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
93,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
94,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
95,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
96,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
97,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
98,10.0,25:75,choice,single person,2.0,10.0,4.0,1.0
99,10.0,25:75,choice,family,3.0,10.0,6.0,22.0
100,10.0,25:75,choice,family,3.0,9.0,5.0,1.0
101,10.0,25:75,choice,family,3.0,10.0,6.0,26.0
102,10.0,25:75,choice,family,3.0,10.0,6.0,1.0
103,10.0,25:75,choice,family,3.0,10.0,6.0,20.0
104,10.0,25:75,choice,family,3.0,10.0,6.0,15.0
105,10.0,25:75,choice,family,3.0,10.0,6.0,4.0
106,10.0,25:75,choice,family,3.0,10.0,6.0,10.0
107,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
108,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
109,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
110,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
111,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
112,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
113,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
114,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
115,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
116,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
117,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
118,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
119,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
120,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
121,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
122,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
123,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
124,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
125,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
126,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
127,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
128,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
129,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
130,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
131,10.0,25:75,choice,single person,3.0,10.0,4.0,1.0
132,10.0,25:75,choice,family,4.0,10.0,6.0,1.0
133,10.0,25:75,choice,family,4.0,9.0,5.0,1.0
134,10.0,25:75,choice,family,4.0,10.0,6.0,26.0
135,10.0,25:75,choice,family,4.0,10.0,6.0,15.0
136,10.0,25:75,choice,family,4.0,10.0,6.0,20.0
137,10.0,25:75,choice,family,4.0,10.0,6.0,10.0
138,10.0,25:75,choice,family,4.0,10.0,6.0,4.0
139,10.0,25:75,choice,family,4.0,10.0,6.0,22.0
140,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
141,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
142,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
143,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
144,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
145,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
146,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
147,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
148,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
149,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
150,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
151,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
152,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
153,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
154,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
155,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
156,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
157,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
158,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
159,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
160,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
161,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
162,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
163,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
164,10.0,25:75,choice,single person,4.0,10.0,4.0,1.0
165,10.0,25:75,choice,family,5.0,9.0,5.0,1.0
166,10.0,25:75,choice,family,5.0,10.0,6.0,4.0
167,10.0,25:75,choice,family,5.0,10.0,6.0,26.0
168,10.0,25:75,choice,family,5.0,10.0,6.0,1.0
169,10.0,25:75,choice,family,5.0,10.0,6.0,20.0
170,10.0,25:75,choice,family,5.0,10.0,6.0,10.0
171,10.0,25:75,choice,family,5.0,10.0,6.0,15.0
172,10.0,25:75,choice,family,5.0,10.0,6.0,22.0
